class;1_1_2_2;1_1_3_2;1_1_5_0;1_1_5_2;2_1_2_0;2_1_3_2;2_1_5_2
10;3321;3269;2964;3297;3759;2562;2584
10;3318;3273;2961;3299;3759;2555;2584
10;3318;3274;2964;3298;3752;2555;2583
10;3318;3275;2967;3298;3748;2564;2583
10;3318;3275;2957;3301;3748;2553;2581
10;3328;3286;2942;3309;3748;2553;2580
10;3328;3292;2934;3310;3746;2553;2580
10;3322;3285;2936;3308;3755;2553;2581
10;3334;3285;2937;3309;3755;2561;2582
10;3334;3285;2935;3309;3754;2562;2580
10;3329;3287;2938;3308;3750;2559;2580
10;3334;3285;2940;3308;3750;2556;2581
10;3334;3285;2939;3307;3746;2556;2581
10;3330;3284;2939;3307;3750;2558;2581
10;3330;3284;2940;3307;3750;2555;2580
10;3320;3288;2942;3306;3746;2555;2581
10;3347;3282;2942;3308;3748;2561;2582
10;3347;3282;2942;3308;3750;2545;2581
10;3326;3282;2944;3306;3750;2545;2579
10;3332;3281;2943;3308;3747;2559;2581
10;3334;3281;2942;3310;3746;2546;2582
10;3334;3291;2946;3308;3746;2546;2581
10;3323;3287;2945;3304;3752;2555;2582
10;3324;3287;2944;3305;3752;2558;2581
10;3338;3294;2946;3307;3743;2558;2579
10;3338;3286;2946;3306;3751;2562;2580
10;3325;3286;2943;3305;3751;2554;2579
10;3326;3282;2944;3307;3751;2554;2578
10;3326;3282;2947;3305;3752;2560;2577
10;3318;3284;2945;3304;3752;2555;2578
10;3322;3276;2944;3303;3747;2548;2579
10;3322;3276;2943;3303;3747;2544;2577
10;3320;3282;2946;3305;3746;2544;2577
10;3324;3280;2946;3305;3756;2554;2580
10;3324;3280;2942;3304;3756;2552;2577
10;3328;3282;2942;3304;3758;2552;2574
10;3328;3282;2945;3306;3758;2554;2575
10;3320;3290;2947;3305;3762;2552;2577
10;3326;3290;2945;3306;3762;2552;2577
10;3339;3286;2945;3309;3752;2552;2577
10;3339;3279;2949;3307;3750;2552;2577
10;3328;3279;2949;3306;3750;2552;2576
10;3329;3288;2946;3309;3748;2552;2575
10;3332;3281;2946;3310;3752;2552;2577
10;3332;2728;3106;3173;3752;2412;2540
20;3321;2728;3422;2902;3746;2398;2454
20;2814;2742;3573;2774;3746;2384;2406
20;2814;2742;3568;2779;3746;2375;2404
20;2802;2737;3574;2772;3742;2375;2405
20;2956;2455;3581;2755;3746;2392;2412
20;2956;2455;3582;2742;3746;2387;2417
20;2787;2586;3582;2739;3755;2387;2418
20;2778;2701;3585;2744;3755;2384;2417
20;2779;2728;3582;2754;3741;2384;2414
20;2779;2731;3582;2753;3741;2387;2412
20;2774;2711;3583;2750;3744;2383;2408
20;2774;2711;3583;2749;3744;2382;2407
20;2767;2730;3586;2746;3747;2382;2410
20;2772;2730;3586;2746;3747;2396;2412
20;2772;2730;3588;2748;3748;2394;2411
20;2772;2731;3588;2750;3748;2391;2410
20;2770;2724;3587;2748;3742;2380;2407
20;2770;2724;3588;2748;3744;2380;2405
20;2768;2721;3586;2749;3744;2379;2405
20;2764;2721;3589;2744;3747;2364;2401
20;2768;2721;3586;2745;3747;2364;2402
20;2768;2720;3584;2747;3738;2384;2404
20;2780;2720;3585;2751;3739;2382;2403
20;2780;2727;3583;2752;3750;2373;2404
20;2764;2727;3585;2748;3750;2373;2404
20;2784;2733;3585;2751;3743;2380;2403
20;2784;2728;3584;2753;3743;2380;2402
20;2792;2728;3579;2757;3739;2380;2403
20;2792;2731;3577;2761;3739;2373;2402
20;2778;2737;3582;2756;3749;2373;2401
20;2778;2725;3582;2754;3749;2373;2401
20;2778;2725;3578;2756;3738;2382;2402
20;2774;2722;3584;2748;3749;2377;2401
20;2766;2722;3586;2749;3749;2377;2398
20;2778;2731;3582;2757;3752;2379;2399
20;2778;2726;3585;2752;3752;2377;2400
20;2766;2726;3587;2750;3742;2366;2399
20;2772;2727;3583;2752;3746;2366;2398
20;2775;2724;3583;2751;3746;2376;2400
20;2783;2724;3583;2751;3738;2386;2402
20;2783;2731;3582;2753;3733;2381;2401
20;2774;2716;3583;2750;3742;2380;2400
20;2777;2716;3584;2751;3742;2380;2400
20;2777;2733;3584;2755;3749;2380;2403
20;2770;2736;3583;2752;3749;2379;2405
20;2788;2738;3583;2757;3742;2379;2405
20;2788;2736;3582;2758;3740;2368;2402
20;2778;2726;3581;2748;3740;2368;2398
20;2772;2726;3581;2748;3740;2376;2399
20;2772;2710;3583;2750;3742;2377;2399
20;2782;2710;3586;2749;3746;2377;2400
20;2782;2730;3584;2750;3746;2380;2401
20;2769;2730;3583;2749;3737;2378;2401
20;2781;2734;3581;2754;3746;2378;2401
20;2781;2722;3583;2751;3746;2374;2399
20;2780;2719;3586;2746;3742;2374;2400
20;2774;2719;3583;2750;3742;2382;2402
20;2774;2731;3583;2749;3746;2378;2402
20;2768;2729;3582;2746;3753;2376;2400
20;2774;2729;3584;2748;3753;2376;2399
